gene,logfold,padj,basemean,dream_logFC,dream_AveExpr,dream_t,dream_P.Value,dream_adj.P.Val,dream_z.std
ABO,2.1791613,3.03E-05,23.54075252,1.536746106,1.593907459,1.825760189,0.10021061,0.934101408,1.64383345
AKAP12,-1.594179465,0.000495403,81.73066518,-1.697843881,3.476296847,-3.540381421,0.004266538,0.934101408,-2.857751911
AOC1,2.666777441,0.009586052,3.511167482,2.068098052,-1.138516246,3.841901111,0.00185846,0.934101408,3.111965877
BANK1,0.985292912,0.005076648,609.3720046,0.792080366,6.581360642,2.41041901,0.032359535,0.934101408,2.139941004
BCL7A,1.356557147,0.007679998,106.678991,1.158621444,3.87633117,2.350480832,0.035917876,0.934101408,2.097855904
BHLHA15,2.189691419,0.004185829,10.64367815,1.822401354,0.401666663,2.980737852,0.010293878,0.934101408,2.565797905
BIRC3,0.33915344,0.032568741,869.974139,0.324860662,7.265994974,3.027049469,0.010513435,0.934101408,2.55846848
BLK,1.06075914,0.030527052,184.6608018,0.674095282,4.784674531,1.455498423,0.17140099,0.934101408,1.367716
BTNL9,2.03701518,0.04358959,7.049248649,1.798150958,-0.296432347,3.239302968,0.023704424,0.934101408,2.261886379
C16orf91,-0.921150002,0.038370433,18.82337158,-0.95963501,1.62918609,-4.936367411,3.97E-05,0.210272963,-4.108932966
CD177,-3.557762195,0.000792394,21.6400072,-2.201559889,0.018263082,-2.199671491,0.045817943,0.934101408,-1.997066652
CD180,0.742107046,0.04358959,128.3140474,0.708858369,4.40461791,2.332484131,0.037780237,0.934101408,2.077231076
CD79B,1.284879198,0.006376065,108.4526725,1.005543,3.969151605,2.325018767,0.037215441,0.934101408,2.083392722
CDK11A,-0.614468036,0.009586052,1262.835352,-0.634349676,7.754483387,-3.058248159,0.010030707,0.934101408,-2.574768959
COLCA2,2.634186477,0.038099043,5.161092118,2.238800038,-0.875803131,2.799767932,0.012845692,0.934101408,2.488018853
CORO2B,1.68310343,0.037162316,21.81583472,1.330493149,1.3649789,1.770041712,0.105310865,0.934101408,1.619634261
CPA3,-2.254703706,0.017689279,8.419411184,-2.678310462,-0.199407757,-3.62430337,0.003151422,0.934101408,-2.952568403
CPEB3,-0.450789017,0.028319102,151.0857445,-0.417513046,4.729191906,-3.517588447,0.004732735,0.934101408,-2.824683434
CPNE5,1.288744938,0.011743321,75.08355826,0.969409226,3.432933481,2.129290701,0.052787895,0.934101408,1.936652016
CRIM1,-0.350756262,0.04358959,167.7602384,-0.338397371,4.892111619,-3.741546115,0.004033943,0.934101408,-2.875495212
DACT1,1.138042663,0.038370433,23.45581829,1.142737209,1.827483928,2.766921996,0.015550543,0.934101408,2.419296864
DENND5B,1.294202605,0.01464892,103.8646122,0.859846535,3.877928457,1.715819382,0.111349582,0.934101408,1.592156333
DNAH6,1.053616897,0.03950786,25.03895735,0.997517948,1.991121599,2.856279302,0.013684213,0.934101408,2.465447743
EBF1,1.090693148,0.032568741,126.209558,0.782220009,4.217039521,1.674087081,0.119784722,0.934101408,1.555677825
ENSG00000285976,-0.926393984,0.046561115,29.23098685,-0.781751169,2.13402835,-2.258782413,0.04532907,0.934101408,-2.001587917
EPHB3,2.747626738,0.000449851,20.95696802,1.772736335,0.753886322,2.135003137,0.051910713,0.934101408,1.943873453
FCER1A,-1.765492088,1.76E-06,37.60266322,-1.637206952,2.390026434,-4.260219778,0.000816698,0.934101408,-3.347072642
FCER2,0.92288106,0.006376065,127.2335395,0.772336727,4.347705762,2.748033825,0.016724058,0.934101408,2.392718685
FCMR,0.710673824,0.032568741,863.2237975,0.710716475,7.154378813,2.527541794,0.026422354,0.934101408,2.219947176
FCRL1,0.969494,0.040057883,469.6502007,0.705659747,6.155475006,1.714802959,0.111809568,0.934101408,1.590111973
FCRL2,1.100713263,0.04358959,128.1601601,0.826722397,4.222996031,1.786999515,0.098477526,0.934101408,1.652279795
FCRL5,1.36045498,0.012359335,206.1769914,1.032985105,4.868765676,2.119594042,0.055087105,0.934101408,1.918188574
GATA2,-1.450601565,0.008537294,153.3891375,-1.399871071,4.419611201,-2.911369531,0.012885982,0.934101408,-2.486904954
GIPC3,1.135525821,0.011743321,27.86095767,0.941159597,2.141453528,2.39642023,0.034121834,0.934101408,2.118628987
GPRC5B,2.451034223,0.015392519,6.108518406,2.290003765,-0.511835975,3.651491648,0.002149862,0.934101408,3.06870862
HERPUD2,-0.284726214,0.019422638,411.4478966,-0.289920706,6.194940391,-5.052538955,2.93E-05,0.210272963,-4.179178936
HIST1H3H,-0.831695377,0.042801419,250.0615699,-0.837742282,5.326095884,-2.761507902,0.016988835,0.934101408,-2.386949278
HLA-DQA2,3.315672959,7.56E-08,25.58172297,2.374096865,1.201481789,2.438788543,0.03385111,0.934101408,2.121840787
IER5L,-1.139873441,0.04358959,17.62143553,-1.135197888,1.362806493,-3.860204558,0.002018038,0.934101408,-3.087564762
IFNLR1,1.41425781,0.007679998,35.53271722,1.605863343,2.330177794,3.36165257,0.00678032,0.934101408,2.707445497
IGFBP3,-1.704567442,0.028319102,13.43481696,-1.877568361,0.473255527,-3.149735581,0.015165046,0.934101408,-2.428413417
IGHV3-72,3.649357119,0.042801419,3.733296124,1.578702198,-1.646822675,1.639648949,0.124243631,0.934101408,1.537202896
IGKV2D-28,2.505951021,0.032568741,43.92002099,1.244978548,1.764164977,1.296247823,0.217228772,0.934101408,1.233930584
INF2,0.5415895,0.01303383,282.2179274,0.509373778,5.600652185,3.36950405,0.005231906,0.934101408,2.792397366
KLHL14,2.026143151,0.025766048,77.50303149,1.150560587,2.981451318,1.468670796,0.165916861,0.934101408,1.38544362
KNOP1,0.475208279,0.022271279,131.0054691,0.484683458,4.519918172,3.355899427,0.005641825,0.934101408,2.767902973
LOXHD1,-1.075996755,0.000444401,124.2114617,-1.225715149,4.295740261,-3.991273685,0.001978082,0.934101408,-3.093503524
MAGEF1,0.83648945,0.032568741,61.67655203,0.697341364,3.348592995,2.363268424,0.033877481,0.934101408,2.121526962
MAK,-0.697911529,0.032568741,172.7988241,-0.733918044,4.836364669,-3.436496707,0.006272415,0.934101408,-2.733189956
MCC,-0.51089544,0.042801419,175.1411903,-0.480275424,4.911699757,-2.952520629,0.015608102,0.934101408,-2.417952775
MRPS18A,0.462378895,0.044689926,57.97990421,0.518488194,3.351036739,5.335081624,1.39E-05,0.210272963,4.345299811
MS4A1,1.006776031,0.012368736,702.4598894,0.727922075,6.751895692,1.895607629,0.082036031,0.934101408,1.738992788
MS4A2,-1.880963905,0.000353759,35.51238219,-1.705546592,2.168255899,-2.9043661,0.013071104,0.934101408,-2.481826112
MTM1,-0.341262097,0.036832692,196.3047249,-0.349680288,5.122582477,-3.547818014,0.004495666,0.934101408,-2.841111039
MYO3A,3.598444534,0.032568741,2.437350152,1.911383768,-1.847941346,2.273456333,0.040226968,0.934101408,2.051410702
MZB1,2.282795415,0.043897197,50.38858717,1.068578562,2.065968878,1.140948298,0.275165157,0.934101408,1.091244852
OSBP2,-1.058486325,7.57E-05,119.093677,-0.975989128,4.243239721,-3.602561958,0.003759218,0.934101408,-2.897690143
OSBPL10,1.20077705,0.007679998,189.0076348,0.876379765,4.791614112,1.96738387,0.07236194,0.934101408,1.796834232
P2RX5,1.075386363,0.037351232,61.55386301,0.693208451,3.208596518,1.500708832,0.159207225,0.934101408,1.407742863
PAG1,-0.284925233,0.03950786,1307.255976,-0.234636246,7.859153161,-2.41594699,0.033167745,0.934101408,-2.130046858
PARM1,1.218373061,0.032568741,20.80054874,1.029919446,1.688544949,2.480282755,0.027594768,0.934101408,2.202999722
PAWR,1.021312042,0.002827516,91.66153834,0.829774871,3.86414192,2.516159969,0.026837574,0.934101408,2.213872171
PAX5,1.177451968,0.032568741,410.1337579,0.847109254,5.873053523,1.824846055,0.092683293,0.934101408,1.681410058
PAX8,1.532946348,0.04358959,18.97199392,1.630354366,1.299215643,2.474600366,0.030409596,0.934101408,2.164713974
PDGFRB,-1.561027736,0.034470671,26.02906775,-1.340717884,1.642432303,-2.02258947,0.067307886,0.934101408,-1.829612616
PPP1R14A,1.535421918,0.000602477,28.47482972,1.461849155,2.043250315,3.290401366,0.006577549,0.934101408,2.717508392
RAPGEF5,1.668216958,0.032568741,13.77701752,1.531555625,0.825406833,2.449638217,0.030813117,0.934101408,2.159477808
RASGEF1B,0.666004964,0.044689926,260.2339432,0.659362741,5.432150761,2.470989705,0.029156422,0.934101408,2.181365115
RELCH,-0.244131917,0.028319102,649.8489148,-0.226215829,6.856763312,-4.543131379,0.00011227,0.445431389,-3.862418465
RNF17,3.849662666,0.028319102,4.747943759,2.044275707,-1.454239969,1.846102745,0.088467008,0.934101408,1.703540275
RNF182,2.96082817,0.00794372,8.618612623,2.355678843,-0.446537088,2.195041261,0.049704017,0.934101408,1.96250244
RPL11,0.797682947,1.85E-09,1822.29302,0.820556537,8.288172668,6.933356474,0.000377249,0.934101408,3.555508043
SCFD2,0.413208508,0.038099043,148.9256775,0.373605331,4.712036211,2.792717287,0.016423467,0.934101408,2.399366507
SDC1,4.647026309,0.042801419,4.794594422,2.044980213,-1.733801146,1.860423383,0.083360626,0.934101408,1.731511214
SIGLEC1,1.999243159,0.034035173,122.2940722,1.195968865,3.605887114,1.609838443,0.131307264,0.934101408,1.508966813
SLC45A3,-1.210746188,0.04358959,24.24832267,-1.034075713,1.841373705,-2.070087397,0.060062647,0.934101408,-1.880333454
SOX5,1.29983146,0.038370433,32.00078848,0.92605732,2.190266364,1.749254672,0.104866655,0.934101408,1.621704405
SYNPO,1.360855286,0.025225318,38.74170087,1.312542391,2.425755717,2.55749267,0.024516803,0.934101408,2.248932306
TFAP4,0.560298954,0.033176397,97.69326223,0.503182489,4.0656807,3.284196585,0.006434961,0.934101408,2.724752975
TMEM158,-1.292767127,0.009586052,23.07084402,-1.384594708,1.761805126,-3.391086698,0.005556041,0.934101408,-2.772892855
TMEM176A,2.150741963,1.97E-05,25.1793192,1.897677232,1.698603543,3.578416341,0.002847003,0.934101408,2.983791984
TMEM176B,1.70725941,0.009607795,87.99914075,1.440530234,3.502064506,2.536297985,0.025381752,0.934101408,2.235542536
TNFRSF13C,1.311324821,0.032568741,236.282104,0.948256364,5.019164431,1.946954472,0.074567366,0.934101408,1.783116349
TOMM7,0.458052655,0.038370433,209.4253626,0.492545077,5.195773192,3.322885549,0.006229867,0.934101408,2.735430877
TOR1B,0.581533504,0.038370433,199.9743537,0.532950732,5.100899775,2.469096382,0.0288831,0.934101408,2.185078386
TRPC1,-1.061622224,0.042801419,14.58917003,-1.002142097,1.165322421,-3.963557804,0.000514078,0.934101408,-3.473311478
TXNDC5,2.457372414,0.026895049,131.0219756,1.229678602,3.394809688,1.441228098,0.17265384,0.934101408,1.363725931
UTP14A,0.489521435,0.043897197,139.9833043,0.452527512,4.608997433,2.74402237,0.020270693,0.934101408,2.321299353
ZNF215,3.01279615,0.032568741,5.542091309,1.721991069,-0.980417438,1.7961884,0.096537832,0.934101408,1.661875043
ZNF860,1.359362714,0.000449851,56.48085271,1.309292707,3.092813577,3.387387788,0.005222731,0.934101408,2.792965181
